concept id	representation id	en	kanji	kana
FMA3710	BP8338	vascular tree	vascular tree	vascular tree
FMA3711	BP6016	segment of artery	segment of artery	segment of artery
FMA3714	BP10561	variant artery	variant artery	variant artery
FMA3726	BP6599	anastomosis	anastomosis	anastomosis
FMA3727	BP6600	vascular anastomosis	vascular anastomosis	vascular anastomosis
FMA3728	BP6601	arterial anastomosis	arterial anastomosis	arterial anastomosis
FMA3729	BP6608	venous anastomosis	venous anastomosis	venous anastomosis
FMA3736	BP10329	ascending aorta	上行大動脈;大動脈上行部	じょうこうだいどうみゃく;だいどうみゃくじょうこうぶ
FMA3768	BP10322	arch of aorta	大動脈弓	だいどうみゃくきゅう
FMA3784	BP10248	descending aorta	下行大動脈;大動脈下行部	かこうだいどうみゃく;だいどうみゃくかこうぶ
FMA3789	BP6008	abdominal aorta	腹大動脈;大動脈腹部	ふくだいどうみゃく;だいどうみゃくふくぶ
FMA3802	BP8221	trunk of right coronary artery	trunk of right coronary artery	trunk of right coronary artery
FMA3807	BP8689	right conus artery	右冠状動脈の円錐枝	うかんじょうどうみゃくのえんすいし
FMA3813	BP7825	anterior ventricular branch of right coronary artery	anterior ventricular branch of right coronary artery	anterior ventricular branch of right coronary artery
FMA3815	BP7824	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery
FMA3818	BP8446	marginal branch of right coronary artery	右縁枝;鋭角縁枝;右冠状動脈の鋭縁枝	うえんし;えいかくえんし;うかんじょうどうみゃくのえいえんし
FMA3835	BP7762	posterior ventricular branch of right coronary artery	posterior ventricular branch of right coronary artery	posterior ventricular branch of right coronary artery
FMA3837	BP7761	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery
FMA3840	BP7876	posterior interventricular branch of right coronary artery	後室間枝;右冠状動脈の後下行枝	こうしつかんし;うかんじょうどうみゃくのこうかこうし
FMA3845	BP8569	septal branch of right posterior interventricular artery	septal branch of right posterior interventricular artery	septal branch of right posterior interventricular artery
FMA3847	BP8568	first septal branch of right posterior interventricular artery	first septal branch of right posterior interventricular artery	first septal branch of right posterior interventricular artery
FMA3848	BP9235	second septal branch of right posterior interventricular artery	second septal branch of right posterior interventricular artery	second septal branch of right posterior interventricular artery
FMA3855	BP8961	trunk of left coronary artery	trunk of left coronary artery	trunk of left coronary artery
FMA3860	BP8004	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery
FMA3868	BP8013	conus branch of anterior interventricular branch of left coronary artery	左冠状動脈の円錐枝	さかんじょうどうみゃくのえんすいし
FMA3870	BP8650	right anterior branch of anterior interventricular branch of left coronary artery	right anterior branch of anterior interventricular branch of left coronary artery	right anterior branch of anterior interventricular branch of left coronary artery
FMA3872	BP8913	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3874	BP8897	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery
