concept id	representation id	en	kanji	kana
FMA3734	BP10374	aorta	大動脈	だいどうみゃく
FMA3736	BP10408	ascending aorta	上行大動脈;大動脈上行部	じょうこうだいどうみゃく;だいどうみゃくじょうこうぶ
FMA3768	BP10404	arch of aorta	大動脈弓	だいどうみゃくきゅう
FMA3784	BP10373	descending aorta	下行大動脈;大動脈下行部	かこうだいどうみゃく;だいどうみゃくかこうぶ
FMA3789	BP6896	abdominal aorta	腹大動脈;大動脈腹部	ふくだいどうみゃく;だいどうみゃくふくぶ
FMA3802	BP9674	trunk of right coronary artery	trunk of right coronary artery	trunk of right coronary artery
FMA3807	BP9911	right conus artery	右冠状動脈の円錐枝	うかんじょうどうみゃくのえんすいし
FMA3815	BP9354	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery
FMA3818	BP9776	marginal branch of right coronary artery	右縁枝;鋭角縁枝;右冠状動脈の鋭縁枝	うえんし;えいかくえんし;うかんじょうどうみゃくのえいえんし
FMA3837	BP9298	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery
FMA3840	BP9400	posterior interventricular branch of right coronary artery	後室間枝;右冠状動脈の後下行枝	こうしつかんし;うかんじょうどうみゃくのこうかこうし
FMA3855	BP10074	trunk of left coronary artery	trunk of left coronary artery	trunk of left coronary artery
FMA3860	BP9547	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery
FMA3862	BP9548	anterior interventricular branch of left coronary artery	前室間枝;左冠状動脈の前下行枝	ぜんしつかんし;さかんじょうどうみゃくのぜんかこうし
FMA3868	BP9555	conus branch of anterior interventricular branch of left coronary artery	左冠状動脈の円錐枝	さかんじょうどうみゃくのえんすいし
FMA3872	BP10050	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3874	BP10042	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery
FMA3876	BP9888	third right anterior branch of anterior interventricular branch of left coronary artery	third right anterior branch of anterior interventricular branch of left coronary artery	third right anterior branch of anterior interventricular branch of left coronary artery
FMA3895	BP9745	circumflex branch of left coronary artery	左冠状動脈の回旋枝	さかんじょうどうみゃくのかいせんし
FMA3932	BP9434	brachiocephalic artery	腕頭動脈	わんとうどうみゃく
FMA3941	BP9519	right common carotid artery	right common carotid artery	right common carotid artery
FMA3949	BP9518	right internal carotid artery	right internal carotid artery	right internal carotid artery
FMA3953	BP9433	right subclavian artery	right subclavian artery	right subclavian artery
FMA3958	BP9432	right vertebral artery	right vertebral artery	right vertebral artery
FMA3969	BP6787	right internal thoracic artery	right internal thoracic artery	right internal thoracic artery
FMA3988	BP6788	right superior epigastric artery	right superior epigastric artery	right superior epigastric artery
FMA3992	BP6801	right thyrocervical trunk	right thyrocervical trunk	right thyrocervical trunk
FMA4057	BP6800	right dorsal scapular artery	right dorsal scapular artery	right dorsal scapular artery
FMA4058	BP9517	left common carotid artery	left common carotid artery	left common carotid artery
FMA4062	BP9516	left internal carotid artery	left internal carotid artery	left internal carotid artery
FMA4066	BP9323	left vertebral artery	left vertebral artery	left vertebral artery
FMA4068	BP6869	left internal thoracic artery	left internal thoracic artery	left internal thoracic artery
FMA4077	BP6871	left musculophrenic artery	left musculophrenic artery	left musculophrenic artery
FMA4083	BP6870	left superior epigastric artery	left superior epigastric artery	left superior epigastric artery
FMA4084	BP6859	left thyrocervical trunk	left thyrocervical trunk	left thyrocervical trunk
FMA4086	BP6890	left costocervical trunk	left costocervical trunk	left costocervical trunk
FMA4088	BP6888	left superior intercostal artery	left superior intercostal artery	left superior intercostal artery
FMA4134	BP6889	left deep cervical artery	left deep cervical artery	left deep cervical artery
FMA4149	BP6933	esophageal artery	esophageal artery	esophageal artery
FMA4634	BP6926	right subcostal artery	right subcostal artery	right subcostal artery
FMA4654	BP6929	left subcostal artery	left subcostal artery	left subcostal artery
FMA4694	BP9324	left subclavian artery	left subclavian artery	left subclavian artery
FMA4706	BP10136	coronary sinus	冠状静脈洞	かんじょうじょうみゃくどう
FMA4707	BP10060	great cardiac vein	大心臓静脈;大心静脈	だいしんぞうじょうみゃく;だいしんじょうみゃく
FMA4708	BP9886	left marginal vein	大心臓静脈の左辺縁静脈	だいしんぞうじょうみゃくのさへんえんじょうみゃく
FMA4712	BP9556	posterior vein of left ventricle	左心室後静脈;後左心室静脈	さしんしつこうじょうみゃく|こうさしんしつじょうみゃく
FMA4713	BP9528	middle cardiac vein	中心臓静脈;中心静脈;後室間静脈	ちゅうしんぞうじょうみゃく;ちゅうしんじょうみゃく;こうしつかんじょうみゃく
FMA4714	BP9967	small cardiac vein	小心臓静脈;小心静脈	しょうしんぞうじょうみゃく;しょうしんじょうみゃく
FMA4716	BP9791	right marginal vein	右辺縁静脈	うへんえんじょうみゃく
FMA4717	BP9792	anterior cardiac venous tree	anterior cardiac venous tree	anterior cardiac venous tree
FMA4720	BP10386	superior vena cava	上大静脈	じょうだいじょうみゃく
FMA4751	BP10410	right brachiocephalic vein	right brachiocephalic vein	right brachiocephalic vein
FMA4754	BP10409	right internal jugular vein	right internal jugular vein	right internal jugular vein
FMA4755	BP10415	right subclavian vein	right subclavian vein	right subclavian vein
FMA4758	BP6755	right internal thoracic vein	right internal thoracic vein	right internal thoracic vein
FMA4761	BP10379	left brachiocephalic vein	left brachiocephalic vein	left brachiocephalic vein
FMA4797	BP7497	left superior intercostal vein	左上肋間静脈	さじょうろっかんじょうみゃく
FMA4838	BP10421	azygos vein	奇静脈	きじょうみゃく
FMA4944	BP10418	hemiazygos vein	半奇静脈	はんきじょうみゃく
FMA5039	BP6822	right costocervical trunk	right costocervical trunk	right costocervical trunk
FMA5042	BP6820	right superior intercostal artery	right superior intercostal artery	right superior intercostal artery
FMA7088	BP9305	heart	心臓	しんぞう
FMA7096	BP9831	right atrium	心房;右心房・左心房|右心房	うしんぼう
FMA7097	BP9454	left atrium	心房;右心房・左心房|左心房	さしんぼう
FMA7098	BP9598	right ventricle	心室;右心室・左心室|右心室	うしんしつ
FMA7101	BP9448	left ventricle	心室;右心室・左心室|左心室	さしんしつ
FMA7131	BP10206	esophagus	食道	しょくどう
FMA7148	BP9480	stomach	胃	い
FMA7152	BP9331	alimentary system	alimentary system	alimentary system
FMA7154	BP9488	head	頭;アタマ	とう;あたま
FMA7155	BP9369	neck	頚;クビ	けい;くび
FMA7157	BP6678	nervous system	nervous system	nervous system
FMA7158	BP9361	respiratory system	respiratory system	respiratory system
FMA7159	BP9805	urinary system	urinary system	urinary system
FMA7160	BP9785	genital system	genital system	genital system
FMA7161	BP9301	cardiovascular system	cardiovascular system	cardiovascular system
FMA7163	BP10155	skin	皮膚	ひふ
FMA7165	BP9304	right side of heart	right side of heart	right side of heart
FMA7166	BP9449	left side of heart	left side of heart	left side of heart
FMA7181	BP9313	trunk	体幹	たいかん
FMA7184	BP9954	lower limb	下肢	かし
FMA7185	BP9411	right upper limb	right upper limb	right upper limb
FMA7186	BP9390	left upper limb	left upper limb	left upper limb
FMA7187	BP9467	right lower limb	right lower limb	right lower limb
FMA7188	BP9296	left lower limb	left lower limb	left lower limb
FMA7197	BP9334	liver	肝臓	かんぞう
FMA7198	BP9653	pancreas	膵臓	すいぞう
FMA7200	BP9352	small intestine	小腸	しょうちょう
FMA7201	BP9747	large intestine	大腸	だいちょう
FMA7202	BP10105	gallbladder	胆嚢;タンノウ	たんのう;たんのう
FMA7204	BP10046	right kidney	right kidney	right kidney
FMA7205	BP10234	left kidney	left kidney	left kidney
FMA7206	BP9885	duodenum	十二指腸	じゅうにしちょう
FMA7207	BP9483	jejunum	空腸	くうちょう
FMA7208	BP9351	ileum	回腸	かいちょう
FMA7216	BP9869	outflow part of right ventricle	動脈円錐;右心室の漏斗	どうみゃくえんすい;うしんしつのろうと
FMA7234	BP9830	tricuspid valve	右房室弁;三尖弁	うぼうしつべん;さんせんべん
